Generate random seed 2368771895967840
Generate random seed 2368780540111210
Generate random seed 2368789184254580
Generate random seed 2368803014883972
Generate random seed 2368815116684690
Generate random seed 2368809930198668
Generate random seed 2368825489656734
Generate random seed 2368842777943474
Generate random seed 2368853150915518
Generate random seed 2368844506772148
Generate random seed 2368863523887562
Generate random seed 2368873896859606
Generate random seed 2368865252716236
Generate random seed 2368887727488998
Generate random seed 2368891185146346
Generate random seed 2368898100461042
14	0.000   0.0000   1000
15	0.000   0.0000   1000
8	0.000   0.0000   1000
11	0.000   0.0000   1000
4	0.000   0.0000   1000
6	0.000   0.0000   1000
13	0.000   0.0000   1000
2	0.000   0.0000   1000
10	0.000   0.0000   1000
16	0.000   0.0000   1000
5	0.000   0.0000   1000
3	0.000   0.0000   1000
1	0.000   0.0000   1000
7	0.000   0.0000   1000
9	0.000   0.0000   1000
12	0.000   0.0000   1000
Generate random seed 2429862585087504
Generate random seed 2429866042765670
Generate random seed 2429883331156500
Generate random seed 2429874686961085
Generate random seed 2429876415800168
Generate random seed 2429891975351915
Generate random seed 2429897161869164
Generate random seed 2429898890708247
Generate random seed 2429905806064579
Generate random seed 2429907534903662
Generate random seed 2429914450259994
Generate random seed 2429921365616326
Generate random seed 2429924823294492
Generate random seed 2429931738650824
Generate random seed 2429933467489907
Generate random seed 2429935196328990
19	0.000   0.0000   1000
22	0.000   0.0000   1000
21	0.000   0.0000   1000
18	0.000   0.0000   1000
20	0.000   0.0000   1000
17	0.000   0.0000   1000
32	0.010   0.0099   1000
23	0.000   0.0000   1000
25	0.002   0.0020   1000
28	0.005   0.0050   1000
30	0.008   0.0079   1000
24	0.000   0.0000   1000
26	0.001   0.0010   1000
29	0.005   0.0050   1000
27	0.003   0.0030   1000
31	0.008   0.0079   1000
Generate random seed 2473509366561846
Generate random seed 2473507637713948
Generate random seed 2473500722322356
Generate random seed 2473516281953438
Generate random seed 2473519739649234
Generate random seed 2473537028128214
Generate random seed 2473547401215602
Generate random seed 2473540485824010
Generate random seed 2473550858911398
Generate random seed 2473531841584520
Generate random seed 2473530112736622
Generate random seed 2473561231998786
Generate random seed 2473562960846684
Generate random seed 2473568147390378
Generate random seed 2473569876238276
Generate random seed 2473573333934072
Generate random seed 2695884998874690
Generate random seed 2695886727783000
Generate random seed 2695910934058654
Generate random seed 2695914391875276
Generate random seed 2695917849691898
Generate random seed 2695926494233453
Generate random seed 2695942055967584
Generate random seed 2695897104351472
Generate random seed 2695967989592264
Generate random seed 2695976634133824
Generate random seed 2695980091950448
Generate random seed 2695961073959016
Generate random seed 2695973177876550
Generate random seed 2695955888793420
Generate random seed 2695948973160168
Generate random seed 2695999114619975
36	0.025   0.0244   1000
45	0.061   0.0573   1000
41	0.042   0.0402   1000
37	0.024   0.0234   1000
34	0.019   0.0186   1000
39	0.031   0.0300   1000
35	0.013   0.0128   1000
47	0.067   0.0625   1000
33	0.013   0.0128   1000
43	0.048   0.0457   1000
46	0.067   0.0625   1000
38	0.031   0.0300   1000
40	0.032   0.0310   1000
44	0.062   0.0582   1000
42	0.038   0.0366   1000
48	0.078   0.0719   1000
Generate random seed 2700210230820774
Generate random seed 2700186026062392
Generate random seed 2700206772998148
Generate random seed 2700161821304010
Generate random seed 2700194670618957
Generate random seed 2700180839328453
Generate random seed 2700218875377339
Generate random seed 2700220604288652
