Skew-1

Generate random seed 7134343056581634
12	0.000   0.0000   1000
Generate random seed 7134391415353790
13	0.000   0.0000   1000
Generate random seed 7134546821797305
14	0.000   0.0000   1000
Generate random seed 7134593458193872
15	0.000   0.0000   1000
Generate random seed 7134641816967000
16	1.000   0.0000   1000
Generate random seed 7134840386130125
17	1.000   0.0000   1000
Generate random seed 7134902561106310
18	1.000   0.0000   1000
Generate random seed 7135095950745195
19	1.000   0.0000   1000
Generate random seed 7135146036028738
20	1.000   0.0000   1000
Generate random seed 7135303168986132
21	1.000   0.0000   1000
Generate random seed 7135572525011821
22	1.000   0.0000   1000
Generate random seed 7135762461637306
23	1.000   0.0000   1000
Generate random seed 7135810824547293
24	1.000   0.0000   1000
Generate random seed 7135983496087128
25	1.000   0.0000   1000
Generate random seed 7136042218050529
26	1.000   0.0000   1000
Generate random seed 7136492857501428
27	1.000   0.0000   1000
Generate random seed 7136563665027957
28	1.000   0.0000   1000
Generate random seed 7136757054677140
29	1.000   0.0000   1000
Generate random seed 7136824413320980
30	1.000   0.0000   1000
Generate random seed 7136981550421640
31	1.000   0.0000   1000
Generate random seed 7137145593558520
32	1.000   0.0000   1000

Skew-2

Generate random seed 7213919368109566
12	0.002   0.0020   1000
Generate random seed 7214385644003048
18	0.055   0.0520   1000
Generate random seed 7215451221036123
21	0.149   0.1268   1000
Generate random seed 7216081591097054
24	0.222   0.1727   1000
Generate random seed 7216739610505087
27	0.363   0.2312   1000
Generate random seed 7217509878488847
30	0.466   0.2488   1000
Generate random seed 7218288804183092
33	0.599   0.2402   1000
Generate random seed 7219174798941241
36	0.716   0.2033   1000
Generate random seed 7220197209356712
39	0.785   0.1688   1000
Generate random seed 7221197204444160
42	0.881   0.1048   1000
Generate random seed 7222608135309010
45	0.901   0.0892   1000
Generate random seed 7223775652786192
48	0.952   0.0457   1000
Generate random seed 7225492223163765
51	0.965   0.0338   1000
Generate random seed 7226939486644521
54	0.981   0.0186   1000
Generate random seed 7228288368227980
57	0.987   0.0128   1000
Generate random seed 7229860016561136
60	0.991   0.0089   1000
Generate random seed 7231609538124496
63	0.993   0.0070   1000
Generate random seed 7233447208629585
66	0.998   0.0020   1000
Generate random seed 7236032565692906
69	0.999   0.0010   1000

Skew-4

Generate random seed 7143216245455125
12	0.003   0.0030   1000
Generate random seed 7143656621169810
15	0.016   0.0157   1000
Generate random seed 7144164355589604
18	0.022   0.0215   1000
Generate random seed 7144849949461202
21	0.037   0.0356   1000
Generate random seed 7145378451702816
24	0.053   0.0502   1000
Generate random seed 7146065817676500
27	0.100   0.0900   1000
Generate random seed 7147027723541476
30	0.131   0.1138   1000
Generate random seed 7148302152546240
33	0.171   0.1418   1000
Generate random seed 7149110444744988
36	0.186   0.1514   1000
Generate random seed 7150395282681764
39	0.221   0.1722   1000
Generate random seed 7151402177506035
42	0.265   0.1948   1000
Generate random seed 7152509230713376
45	0.305   0.2120   1000
Generate random seed 7153652569745820
