Generate random seed 425108235014298
Generate random seed 425113477633152
Generate random seed 425118720252006
Generate random seed 425123962870860
Generate random seed 425132700568950
Generate random seed 425129205489714
Generate random seed 425137943187804
Generate random seed 425143185806658
Generate random seed 425148428425512
Generate random seed 425155418583984
Generate random seed 425158913663220
Generate random seed 425165903821692
Generate random seed 425169398900928
Generate random seed 425174641519782
Generate random seed 425179884138636
Generate random seed 425186874297108
Generate random seed 425195611995198
Generate random seed 425193864455580
Generate random seed 425200854614052
Generate random seed 425202602153670
6	0.000   0.0000   1000
2	0.000   0.0000   1000
4	0.000   0.0000   1000
3	0.000   0.0000   1000
9	0.000   0.0000   1000
7	0.000   0.0000   1000
5	0.000   0.0000   1000
1	0.000   0.0000   1000
8	0.000   0.0000   1000
13	0.000   0.0000   1000
11	0.000   0.0000   1000
17	0.000   0.0000   1000
12	0.000   0.0000   1000
16	0.000   0.0000   1000
14	0.000   0.0000   1000
15	0.000   0.0000   1000
10	0.000   0.0000   1000
18	0.000   0.0000   1000
19	0.000   0.0000   1000
20	0.000   0.0000   1000
Generate random seed 430417390419654
Generate random seed 430420885499946
Generate random seed 430426128120384
Generate random seed 430431370740822
Generate random seed 430436613361260
Generate random seed 430443603521844
Generate random seed 430447098602136
Generate random seed 430452341222574
Generate random seed 430457583843012
Generate random seed 430462826463450
Generate random seed 430468069083888
Generate random seed 430475059244472
Generate random seed 430478554324764
Generate random seed 430485544485348
Generate random seed 430489039565640
Generate random seed 430494282186078
Generate random seed 430499524806516
Generate random seed 430504767426954
Generate random seed 430510010047392
Generate random seed 430511757587538
22	0.000   0.0000   1000
38	0.110   0.0979   1000
23	0.000   0.0000   1000
26	0.005   0.0050   1000
25	0.003   0.0030   1000
24	0.000   0.0000   1000
31	0.017   0.0167   1000
21	0.000   0.0000   1000
33	0.032   0.0310   1000
29	0.006   0.0060   1000
34	0.050   0.0475   1000
37	0.087   0.0794   1000
30	0.011   0.0109   1000
35	0.051   0.0484   1000
32	0.030   0.0291   1000
28	0.006   0.0060   1000
27	0.004   0.0040   1000
36	0.069   0.0642   1000
39	0.122   0.1071   1000
40	0.143   0.1226   1000
Generate random seed 436991799488678
Generate random seed 436995294570274
Generate random seed 437000537192668
Generate random seed 437007527355860
Generate random seed 437011022437456
Generate random seed 437018012600648
Generate random seed 437021507682244
Generate random seed 437026750304638
Generate random seed 437033740467830
Generate random seed 437037235549426
Generate random seed 437044225712618
Generate random seed 437049468335012
